datetime,location,score,words,txt
Mon Sep 27 09:18:25 +0000 2021,Indonesia,6,"winner,join,discord,no,winner","$1000 CRYPTO || 13,8 JUTA IDR ||
|| one winner || iPhone 12 Pro || Garr 02 ||

Retweet, follow me and 

$700 to follow @SkidsNFT

$300 to join their Discord:
https://t.co/sTlvK7cJ8N
Show new proof (no crop)

Winner will be picked in 5 days. https://t.co/a1zv01l6OD"
Mon Sep 27 09:18:24 +0000 2021,,3,impress,iPhone 13でApple Watchによるロック解除ができない不具合。アップデートで修正予定(Impress Watch) #Yahooニュース
Mon Sep 27 09:18:24 +0000 2021,giveaway on going 👉🏻,4,winner,"GIVEAWAY $1500 | 21 JUTA RUPIAH | IPHONE 13 PRO FOR ONE WINNER ! 

- rt follow me and

@RichTheKidNFT
@Immortalznft
@ConfusionNFT
@SquirrelsNFT

end 10 days, goodluck. https://t.co/uQCiCc7rEC"
Mon Sep 27 09:18:24 +0000 2021,"25 Montgomery road, Yaba",0,,"NOW AVAILABLE ‼️🥵🔥

iPhone 13 Pro 128GB - N875,000
iPhone 13 Pro 256GB - N940,000                
iPHone 13 Pro 512GB - N1,090,000
iPHone 13 Pro MAX 128GB - N985,000
iPhone 13 PRO MAX 256GB - N1,060,000
iPHone 13 PRO MAX 512GB - N1,255,000

To Order 🛒, Send a DM📩☺️ https://t.co/eIlA0htrtC"
Mon Sep 27 09:18:23 +0000 2021,"West Java, Indonesia",0,,jual ginjal ah buat beli iphone 13
Mon Sep 27 09:18:23 +0000 2021,"Juice wrld, Wizkid 🦅❤️",6,"god,😂,funny","Iphone 13 pro max, 1.2M, God! 😂

it’s funny to me, idk why 😹😹"
Mon Sep 27 09:18:22 +0000 2021,Singapore,2,dedicated,First tweet from my new iPhone 13 pro max… dedicated to all #Sannasulu https://t.co/lyst7h4bGn
Mon Sep 27 09:18:21 +0000 2021,🇬🇭|🇸🇩 Turn notification on,0,,I told her I ordered iPhone 13 pro max for her and she exclaimed………………… https://t.co/Bt35BvNPwK
Mon Sep 27 09:18:20 +0000 2021,giveaway on going 👉🏻,4,winner,"GIVEAWAY $1500 | 21 JUTA RUPIAH | IPHONE 13 PRO FOR ONE WINNER ! 

- rt follow me and

@RichTheKidNFT
@Immortalznft
@ConfusionNFT
@SquirrelsNFT

end 10 days, goodluck. https://t.co/uQCiCc7rEC"
Mon Sep 27 09:18:18 +0000 2021,"UK, US, AU",2,polished,iPhone software is so polished... https://t.co/o9y07UxiJS
Mon Sep 27 09:18:16 +0000 2021,helping the poor somewhere...,-4,"no,charged","iPhone 13 Pro Max, 1TB. 1.5 Million. 
No Charger. 

Ah!"
Mon Sep 27 09:18:15 +0000 2021,giveaway on going 👉🏻,4,winner,"GIVEAWAY $1500 | 21 JUTA RUPIAH | IPHONE 13 PRO FOR ONE WINNER ! 

- rt follow me and

@RichTheKidNFT
@Immortalznft
@ConfusionNFT
@SquirrelsNFT

end 10 days, goodluck. https://t.co/uQCiCc7rEC"
Mon Sep 27 09:18:14 +0000 2021,,14,"🎯,🎯,🎯,quality,beautiful",Pastel Pink • Make Your iOS 15 Home Screen Aesthetic  Theme pack includes; 🎯 400 Pastel Pink App Icons 🎯 12 Light &amp; Dark Wallpapers 🎯 High Quality Images  Make your iPhone 13 even more beautiful. On Etsy.
Mon Sep 27 09:18:13 +0000 2021,Elmina City,0,,"Jual iPhone 13 harga kayangan perli Pengguna kononnya hanya golongan kaya sahaja mampu beli iPhone 13. Maklumlah dia dapat stok luar negara.

Bila pembeli tanya iPhone harga murah, boleh pula perli Pembeli kononnya sengkek. Geram plak nak sebut nama kedai dia."
Mon Sep 27 09:18:13 +0000 2021,giveaway on going 👉🏻,4,winner,"GIVEAWAY $1500 | 21 JUTA RUPIAH | IPHONE 13 PRO FOR ONE WINNER ! 

- rt follow me and

@RichTheKidNFT
@Immortalznft
@ConfusionNFT
@SquirrelsNFT

end 10 days, goodluck. https://t.co/uQCiCc7rEC"
Mon Sep 27 09:18:12 +0000 2021,極低照度原理主義の世界,0,,"iPhone 13 Pro/Pro Maxのイメージセンサーが判明！！！
背面は全て新型でSONY IMXの700番台！！！
メインはIMX703！！！
数字が大きければ言い訳じゃないけど強そう！！！
超広角、望遠、自撮りのセンサーサイズは変化なし！(全て1/3.4""のクソチビセンサー)
SONY信者こそiPhoneを！！！w https://t.co/WQqyBqRxxW"
